mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,label,filename
-246.962,49.470943,4.922163,32.507935,-11.243851,1.6892593,-19.95585,5.746708,-22.768066,2.3030853,-17.410303,0.30180347,-3.0808318,female,female_01.wav
-257.23755,88.37191,9.467071,27.370947,-13.399975,3.2334182,-9.883782,-14.292689,-5.9514575,-0.9539423,-0.08877492,-7.2811418,-0.4502481,female,female_02.wav
-273.8713,71.86796,-1.3286996,26.635605,-10.213086,2.8396924,-15.503926,-5.1436534,-6.9237123,0.2600976,-0.42066956,-0.19982933,3.3729858,female,female_03.wav
-353.47635,68.507675,8.056022,23.888018,-0.43869033,11.840884,1.4032468,-7.7924976,-0.09932827,-1.4861215,-8.479608,3.997028,-6.9469657,female,female_04.wav
-284.60983,81.4506,7.4268665,39.914925,-10.35027,1.3126466,-23.08466,-8.609181,-14.37254,-3.3663645,-6.561539,1.4106386,-3.2522578,female,female_05.wav
-234.25093,72.26593,-0.12224132,14.874734,-16.60333,3.989972,-21.477928,-3.5676255,-2.7794423,2.0768578,-16.016607,6.6952467,-10.493073,female,female_06.wav
-265.411,71.31616,1.4842237,24.840918,-11.910929,5.0114803,-5.586834,-5.8833494,0.19787623,-4.6990085,-9.244686,-2.2374132,-6.0189934,female,female_07.wav
-231.38943,63.955757,-6.9674582,33.921333,-18.0695,3.3119736,-19.468767,2.046829,-19.830511,-1.3717966,-10.787422,-6.9563956,-5.377687,female,female_08.wav
-237.64226,77.00608,13.381133,24.634108,-8.790596,3.3410907,-14.909548,-9.434593,-8.969586,1.4833374,-5.9482436,-4.5993843,-1.6817782,female,female_09.wav
-242.10953,90.74729,-4.0186687,30.215322,-11.902192,4.70224,-12.400497,-8.666353,-6.8210707,-0.5795685,-2.0493674,0.94334674,3.8882103,female,female_10.wav
-239.95673,103.738045,20.359472,28.32605,-15.22969,3.489019,-11.669852,-8.825481,-9.640744,-2.954486,-3.4868295,-7.8651843,-2.6413429,female,female_100.wav
